From	To	Species	Gene Name
TM7SF2	ENSG00000149809	Homo sapiens	transmembrane 7 superfamily member 2(TM7SF2)
EBP	ENSG00000147155	Homo sapiens	emopamil binding protein (sterol isomerase)(EBP)
MSMO1	ENSG00000052802	Homo sapiens	methylsterol monooxygenase 1(MSMO1)
MVD	ENSG00000167508	Homo sapiens	mevalonate diphosphate decarboxylase(MVD)
CYP51A1	ENSG00000001630	Homo sapiens	cytochrome P450 family 51 subfamily A member 1(CYP51A1)
HMGCR	ENSG00000113161	Homo sapiens	3-hydroxy-3-methylglutaryl-CoA reductase(HMGCR)
HMGCS1	ENSG00000112972	Homo sapiens	3-hydroxy-3-methylglutaryl-CoA synthase 1(HMGCS1)
FDPS	ENSG00000160752	Homo sapiens	farnesyl diphosphate synthase(FDPS)
LSS	ENSG00000160285	Homo sapiens	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)(LSS)
PMVK	ENSG00000163344	Homo sapiens	phosphomevalonate kinase(PMVK)
FDFT1	ENSG00000079459	Homo sapiens	farnesyl-diphosphate farnesyltransferase 1(FDFT1)
SQLE	ENSG00000104549	Homo sapiens	squalene epoxidase(SQLE)
DHCR7	ENSG00000172893	Homo sapiens	7-dehydrocholesterol reductase(DHCR7)
GGPS1	ENSG00000152904	Homo sapiens	geranylgeranyl diphosphate synthase 1(GGPS1)
MVK	ENSG00000110921	Homo sapiens	mevalonate kinase(MVK)
IDI2	ENSG00000148377	Homo sapiens	isopentenyl-diphosphate delta isomerase 2(IDI2)
IDI1	ENSG00000067064	Homo sapiens	isopentenyl-diphosphate delta isomerase 1(IDI1)
LBR	ENSG00000143815	Homo sapiens	lamin B receptor(LBR)
HSD17B7	ENSG00000132196	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 7(HSD17B7)
NSDHL	ENSG00000147383	Homo sapiens	NAD(P) dependent steroid dehydrogenase-like(NSDHL)
DHCR24	ENSG00000116133	Homo sapiens	24-dehydrocholesterol reductase(DHCR24)
