From	To	Species	Gene Name
ARSB	ENSG00000113273	Homo sapiens	arylsulfatase B(ARSB)
HGSNAT	ENSG00000165102	Homo sapiens	heparan-alpha-glucosaminide N-acetyltransferase(HGSNAT)
SGSH	ENSG00000181523	Homo sapiens	N-sulfoglucosamine sulfohydrolase(SGSH)
HYAL1	ENSG00000114378	Homo sapiens	hyaluronoglucosaminidase 1(HYAL1)
NAGLU	ENSG00000108784	Homo sapiens	N-acetyl-alpha-glucosaminidase(NAGLU)
ARSG	ENSG00000141337	Homo sapiens	arylsulfatase G(ARSG)
GUSB	ENSG00000169919	Homo sapiens	glucuronidase beta(GUSB)
ARSK	ENSG00000164291	Homo sapiens	arylsulfatase family member K(ARSK)
GLB1	ENSG00000170266	Homo sapiens	galactosidase beta 1(GLB1)
GNS	ENSG00000135677	Homo sapiens	glucosamine (N-acetyl)-6-sulfatase(GNS)
IDS	ENSG00000010404	Homo sapiens	iduronate 2-sulfatase(IDS)
GALNS	ENSG00000141012	Homo sapiens	galactosamine (N-acetyl)-6-sulfatase(GALNS)
SUMF1	ENSG00000144455	Homo sapiens	sulfatase modifying factor 1(SUMF1)
IDUA	ENSG00000127415	Homo sapiens	iduronidase, alpha-L-(IDUA)
