From	To	Species	Gene Name
HRAS	ENSG00000174775	Homo sapiens	HRas proto-oncogene, GTPase(HRAS)
PTGS2	ENSG00000073756	Homo sapiens	prostaglandin-endoperoxide synthase 2(PTGS2)
PGF	ENSG00000119630	Homo sapiens	placental growth factor(PGF)
CTNNB1	ENSG00000168036	Homo sapiens	catenin beta 1(CTNNB1)
GNG8	ENSG00000167414	Homo sapiens	G protein subunit gamma 8(GNG8)
CUL2	ENSG00000108094	Homo sapiens	cullin 2(CUL2)
AGTR1	ENSG00000144891	Homo sapiens	angiotensin II receptor type 1(AGTR1)
PIK3CA	ENSG00000121879	Homo sapiens	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha(PIK3CA)
GNG2	ENSG00000186469	Homo sapiens	G protein subunit gamma 2(GNG2)
FAS	ENSG00000026103	Homo sapiens	Fas cell surface death receptor(FAS)
GNG3	ENSG00000162188	Homo sapiens	G protein subunit gamma 3(GNG3)
CCNA1	ENSG00000133101	Homo sapiens	cyclin A1(CCNA1)
GNG4	ENSG00000168243	Homo sapiens	G protein subunit gamma 4(GNG4)
GNG5	ENSG00000174021	Homo sapiens	G protein subunit gamma 5(GNG5)
CUL1	ENSG00000055130	Homo sapiens	cullin 1(CUL1)
GNG7	ENSG00000176533	Homo sapiens	G protein subunit gamma 7(GNG7)
WNT10A	ENSG00000135925	Homo sapiens	Wnt family member 10A(WNT10A)
WNT10B	ENSG00000169884	Homo sapiens	Wnt family member 10B(WNT10B)
GSTT2B	ENSG00000133433	Homo sapiens	glutathione S-transferase theta 2B (gene/pseudogene)(GSTT2B)
BRAF	ENSG00000157764	Homo sapiens	B-Raf proto-oncogene, serine/threonine kinase(BRAF)
ROCK1	ENSG00000067900	Homo sapiens	Rho associated coiled-coil containing protein kinase 1(ROCK1)
ROCK2	ENSG00000134318	Homo sapiens	Rho associated coiled-coil containing protein kinase 2(ROCK2)
RXRB	ENSG00000204231	Homo sapiens	retinoid X receptor beta(RXRB)
PIK3CB	ENSG00000051382	Homo sapiens	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta(PIK3CB)
RXRA	ENSG00000186350	Homo sapiens	retinoid X receptor alpha(RXRA)
PIK3CD	ENSG00000171608	Homo sapiens	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta(PIK3CD)
SKP2	ENSG00000145604	Homo sapiens	S-phase kinase associated protein 2(SKP2)
RXRG	ENSG00000143171	Homo sapiens	retinoid X receptor gamma(RXRG)
SKP1	ENSG00000113558	Homo sapiens	S-phase kinase associated protein 1(SKP1)
CTNNA1	ENSG00000044115	Homo sapiens	catenin alpha 1(CTNNA1)
MECOM	ENSG00000085276	Homo sapiens	MDS1 and EVI1 complex locus(MECOM)
BCL2L11	ENSG00000153094	Homo sapiens	BCL2 like 11(BCL2L11)
CTNNA3	ENSG00000183230	Homo sapiens	catenin alpha 3(CTNNA3)
CTNNA2	ENSG00000066032	Homo sapiens	catenin alpha 2(CTNNA2)
JUP	ENSG00000173801	Homo sapiens	junction plakoglobin(JUP)
MAPK1	ENSG00000100030	Homo sapiens	mitogen-activated protein kinase 1(MAPK1)
JUN	ENSG00000177606	Homo sapiens	Jun proto-oncogene, AP-1 transcription factor subunit(JUN)
MAPK3	ENSG00000102882	Homo sapiens	mitogen-activated protein kinase 3(MAPK3)
MAPK9	ENSG00000050748	Homo sapiens	mitogen-activated protein kinase 9(MAPK9)
MAPK8	ENSG00000107643	Homo sapiens	mitogen-activated protein kinase 8(MAPK8)
GNAI3	ENSG00000065135	Homo sapiens	G protein subunit alpha i3(GNAI3)
GNAI2	ENSG00000114353	Homo sapiens	G protein subunit alpha i2(GNAI2)
GNAI1	ENSG00000127955	Homo sapiens	G protein subunit alpha i1(GNAI1)
ERBB2	ENSG00000141736	Homo sapiens	erb-b2 receptor tyrosine kinase 2(ERBB2)
NFKBIA	ENSG00000100906	Homo sapiens	NFKB inhibitor alpha(NFKBIA)
BCL2L1	ENSG00000171552	Homo sapiens	BCL2 like 1(BCL2L1)
IFNA2	ENSG00000188379	Homo sapiens	interferon alpha 2(IFNA2)
IFNA1	ENSG00000197919	Homo sapiens	interferon alpha 1(IFNA1)
IL23A	ENSG00000110944	Homo sapiens	interleukin 23 subunit alpha(IL23A)
RAC2	ENSG00000128340	Homo sapiens	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)(RAC2)
IFNA7	ENSG00000214042	Homo sapiens	interferon alpha 7(IFNA7)
RAC3	ENSG00000169750	Homo sapiens	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)(RAC3)
IFNA6	ENSG00000120235	Homo sapiens	interferon alpha 6(IFNA6)
IFNA5	ENSG00000147873	Homo sapiens	interferon alpha 5(IFNA5)
RAC1	ENSG00000136238	Homo sapiens	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)(RAC1)
IFNA4	ENSG00000236637	Homo sapiens	interferon alpha 4(IFNA4)
IFNA8	ENSG00000120242	Homo sapiens	interferon alpha 8(IFNA8)
FH	ENSG00000091483	Homo sapiens	fumarate hydratase(FH)
DVL2	ENSG00000004975	Homo sapiens	dishevelled segment polarity protein 2(DVL2)
DVL3	ENSG00000161202	Homo sapiens	dishevelled segment polarity protein 3(DVL3)
TCF7	ENSG00000081059	Homo sapiens	transcription factor 7 (T-cell specific, HMG-box)(TCF7)
IL23R	ENSG00000162594	Homo sapiens	interleukin 23 receptor(IL23R)
MAP2K1	ENSG00000169032	Homo sapiens	mitogen-activated protein kinase kinase 1(MAP2K1)
MAP2K2	ENSG00000126934	Homo sapiens	mitogen-activated protein kinase kinase 2(MAP2K2)
TGFBR1	ENSG00000106799	Homo sapiens	transforming growth factor beta receptor 1(TGFBR1)
TGFBR2	ENSG00000163513	Homo sapiens	transforming growth factor beta receptor 2(TGFBR2)
HGF	ENSG00000019991	Homo sapiens	hepatocyte growth factor(HGF)
GNGT1	ENSG00000127928	Homo sapiens	G protein subunit gamma transducin 1(GNGT1)
GNGT2	ENSG00000167083	Homo sapiens	G protein subunit gamma transducin 2(GNGT2)
FGF6	ENSG00000111241	Homo sapiens	fibroblast growth factor 6(FGF6)
FGF5	ENSG00000138675	Homo sapiens	fibroblast growth factor 5(FGF5)
FGF8	ENSG00000107831	Homo sapiens	fibroblast growth factor 8(FGF8)
FGF7	ENSG00000140285	Homo sapiens	fibroblast growth factor 7(FGF7)
FGF9	ENSG00000102678	Homo sapiens	fibroblast growth factor 9(FGF9)
SPI1	ENSG00000066336	Homo sapiens	Spi-1 proto-oncogene(SPI1)
CCNE2	ENSG00000175305	Homo sapiens	cyclin E2(CCNE2)
CCNE1	ENSG00000105173	Homo sapiens	cyclin E1(CCNE1)
IL4R	ENSG00000077238	Homo sapiens	interleukin 4 receptor(IL4R)
FRAT1	ENSG00000165879	Homo sapiens	frequently rearranged in advanced T-cell lymphomas 1(FRAT1)
FRAT2	ENSG00000181274	Homo sapiens	frequently rearranged in advanced T-cell lymphomas 2(FRAT2)
FGF1	ENSG00000113578	Homo sapiens	fibroblast growth factor 1(FGF1)
IL13RA1	ENSG00000131724	Homo sapiens	interleukin 13 receptor subunit alpha 1(IL13RA1)
MYC	ENSG00000136997	Homo sapiens	v-myc avian myelocytomatosis viral oncogene homolog(MYC)
FGF2	ENSG00000138685	Homo sapiens	fibroblast growth factor 2(FGF2)
FGF3	ENSG00000186895	Homo sapiens	fibroblast growth factor 3(FGF3)
FGF4	ENSG00000075388	Homo sapiens	fibroblast growth factor 4(FGF4)
AR	ENSG00000169083	Homo sapiens	androgen receptor(AR)
TP53	ENSG00000141510	Homo sapiens	tumor protein p53(TP53)
IL6R	ENSG00000160712	Homo sapiens	interleukin 6 receptor(IL6R)
ARHGEF12	ENSG00000196914	Homo sapiens	Rho guanine nucleotide exchange factor 12(ARHGEF12)
ARHGEF11	ENSG00000132694	Homo sapiens	Rho guanine nucleotide exchange factor 11(ARHGEF11)
CCND1	ENSG00000110092	Homo sapiens	cyclin D1(CCND1)
CCND3	ENSG00000112576	Homo sapiens	cyclin D3(CCND3)
GNAQ	ENSG00000156052	Homo sapiens	G protein subunit alpha q(GNAQ)
GNB2	ENSG00000172354	Homo sapiens	G protein subunit beta 2(GNB2)
CCND2	ENSG00000118971	Homo sapiens	cyclin D2(CCND2)
GNB1	ENSG00000078369	Homo sapiens	G protein subunit beta 1(GNB1)
WNT9B	ENSG00000158955	Homo sapiens	Wnt family member 9B(WNT9B)
IL12A	ENSG00000168811	Homo sapiens	interleukin 12A(IL12A)
GNB5	ENSG00000069966	Homo sapiens	G protein subunit beta 5(GNB5)
GNB4	ENSG00000114450	Homo sapiens	G protein subunit beta 4(GNB4)
GNAS	ENSG00000087460	Homo sapiens	GNAS complex locus(GNAS)
WNT9A	ENSG00000143816	Homo sapiens	Wnt family member 9A(WNT9A)
GNB3	ENSG00000111664	Homo sapiens	G protein subunit beta 3(GNB3)
IL12B	ENSG00000113302	Homo sapiens	interleukin 12B(IL12B)
APC2	ENSG00000115266	Homo sapiens	APC2, WNT signaling pathway regulator(APC2)
GNG13	ENSG00000127588	Homo sapiens	G protein subunit gamma 13(GNG13)
PML	ENSG00000140464	Homo sapiens	promyelocytic leukemia(PML)
GNG11	ENSG00000127920	Homo sapiens	G protein subunit gamma 11(GNG11)
GNG12	ENSG00000172380	Homo sapiens	G protein subunit gamma 12(GNG12)
IL7R	ENSG00000168685	Homo sapiens	interleukin 7 receptor(IL7R)
SOS1	ENSG00000115904	Homo sapiens	SOS Ras/Rac guanine nucleotide exchange factor 1(SOS1)
PLEKHG5	ENSG00000171680	Homo sapiens	pleckstrin homology and RhoGEF domain containing G5(PLEKHG5)
SOS2	ENSG00000100485	Homo sapiens	SOS Ras/Rho guanine nucleotide exchange factor 2(SOS2)
WNT8A	ENSG00000061492	Homo sapiens	Wnt family member 8A(WNT8A)
WNT8B	ENSG00000075290	Homo sapiens	Wnt family member 8B(WNT8B)
IL4	ENSG00000113520	Homo sapiens	interleukin 4(IL4)
IL3	ENSG00000164399	Homo sapiens	interleukin 3(IL3)
IL6	ENSG00000136244	Homo sapiens	interleukin 6(IL6)
IL5	ENSG00000113525	Homo sapiens	interleukin 5(IL5)
IL7	ENSG00000104432	Homo sapiens	interleukin 7(IL7)
IGF1	ENSG00000017427	Homo sapiens	insulin like growth factor 1(IGF1)
IGF2	ENSG00000167244	Homo sapiens	insulin like growth factor 2(IGF2)
APPL1	ENSG00000157500	Homo sapiens	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1(APPL1)
RPS6KA5	ENSG00000100784	Homo sapiens	ribosomal protein S6 kinase A5(RPS6KA5)
NRAS	ENSG00000213281	Homo sapiens	neuroblastoma RAS viral oncogene homolog(NRAS)
WNT7B	ENSG00000188064	Homo sapiens	Wnt family member 7B(WNT7B)
RASSF5	ENSG00000266094	Homo sapiens	Ras association domain family member 5(RASSF5)
GSK3B	ENSG00000082701	Homo sapiens	glycogen synthase kinase 3 beta(GSK3B)
RASSF1	ENSG00000068028	Homo sapiens	Ras association domain family member 1(RASSF1)
GNG10	ENSG00000242616	Homo sapiens	G protein subunit gamma 10(GNG10)
ARAF	ENSG00000078061	Homo sapiens	A-Raf proto-oncogene, serine/threonine kinase(ARAF)
LRP6	ENSG00000070018	Homo sapiens	LDL receptor related protein 6(LRP6)
WNT7A	ENSG00000154764	Homo sapiens	Wnt family member 7A(WNT7A)
LRP5	ENSG00000162337	Homo sapiens	LDL receptor related protein 5(LRP5)
IL2	ENSG00000109471	Homo sapiens	interleukin 2(IL2)
GNA13	ENSG00000120063	Homo sapiens	G protein subunit alpha 13(GNA13)
GNA11	ENSG00000088256	Homo sapiens	G protein subunit alpha 11(GNA11)
GNA12	ENSG00000146535	Homo sapiens	G protein subunit alpha 12(GNA12)
TGFB3	ENSG00000119699	Homo sapiens	transforming growth factor beta 3(TGFB3)
JAG2	ENSG00000184916	Homo sapiens	jagged 2(JAG2)
RPS6KB2	ENSG00000175634	Homo sapiens	ribosomal protein S6 kinase B2(RPS6KB2)
IL13	ENSG00000169194	Homo sapiens	interleukin 13(IL13)
